,Date,Time,Current,RPM
104,2019-12-02,14:48:28.244744,['1.80'],['904.84']
105,2019-12-02,14:48:28.293007,['1.71'],['907.17']
106,2019-12-02,14:48:28.356357,['-1.89'],['907.85']
107,2019-12-02,14:48:28.404109,['-1.59'],['907.99']
108,2019-12-02,14:48:28.468327,['1.98'],['910.06']
109,2019-12-02,14:48:28.516182,['1.57'],['909.78']
110,2019-12-02,14:48:28.564278,['-1.95'],['907.17']
111,2019-12-02,14:48:28.628177,['-1.66'],['908.40']
112,2019-12-02,14:48:28.676238,['1.91'],['907.72']
113,2019-12-02,14:48:28.739983,['1.62'],['905.39']
114,2019-12-02,14:48:28.787843,['-1.88'],['906.07']
115,2019-12-02,14:48:28.835949,['-1.59'],['907.72']
116,2019-12-02,14:48:28.899687,['1.82'],['907.44']
117,2019-12-02,14:48:28.947899,['1.52'],['908.54']
118,2019-12-02,14:48:29.011646,['-1.88'],['911.44']
119,2019-12-02,14:48:29.059751,['-1.34'],['908.40']
120,2019-12-02,14:48:29.107641,['1.86'],['907.85']
121,2019-12-02,14:48:29.171286,['0.79'],['907.72']
122,2019-12-02,14:48:29.219235,['-1.70'],['906.62']
123,2019-12-02,14:48:29.283221,['-0.20'],['907.03']
124,2019-12-02,14:48:29.331222,['1.61'],['910.19']
125,2019-12-02,14:48:29.379406,['-0.54'],['907.85']
126,2019-12-02,14:48:29.442561,['-1.76'],['908.13']
127,2019-12-02,14:48:29.490852,['1.37'],['911.02']
128,2019-12-02,14:48:29.554494,['1.71'],['908.95']
129,2019-12-02,14:48:29.602595,['-1.74'],['904.84']
130,2019-12-02,14:48:29.666055,['-1.73'],['909.64']
131,2019-12-02,14:48:29.714227,['1.93'],['907.17']
132,2019-12-02,14:48:29.762225,['1.71'],['908.82']
133,2019-12-02,14:48:29.825817,['-2.01'],['909.78']
134,2019-12-02,14:48:29.873770,['-1.67'],['909.64']
135,2019-12-02,14:48:29.921979,['1.96'],['907.17']
136,2019-12-02,14:48:29.985617,['1.64'],['912.13']
137,2019-12-02,14:48:30.033644,['-1.89'],['910.19']
138,2019-12-02,14:48:30.097314,['-1.59'],['908.82']
139,2019-12-02,14:48:30.145377,['1.94'],['907.44']
140,2019-12-02,14:48:30.193039,['1.56'],['903.61']
141,2019-12-02,14:48:30.256973,['-1.86'],['906.62']
142,2019-12-02,14:48:30.304814,['-1.53'],['909.23']
143,2019-12-02,14:48:30.368814,['1.95'],['906.89']
144,2019-12-02,14:48:30.417028,['1.46'],['908.13']
145,2019-12-02,14:48:30.480665,['-1.85'],['908.27']
146,2019-12-02,14:48:30.528919,['-1.00'],['909.78']
147,2019-12-02,14:48:30.576899,['1.76'],['906.48']
148,2019-12-02,14:48:30.640602,['0.27'],['906.62']
149,2019-12-02,14:48:30.688736,['-1.64'],['909.37']
150,2019-12-02,14:48:30.736823,['0.49'],['906.76']
151,2019-12-02,14:48:30.800462,['1.68'],['908.68']
152,2019-12-02,14:48:30.848613,['-1.19'],['908.13']
153,2019-12-02,14:48:30.912535,['-1.74'],['907.44']
154,2019-12-02,14:48:30.960137,['1.74'],['910.06']
155,2019-12-02,14:48:31.008433,['1.74'],['908.40']
156,2019-12-02,14:48:31.072184,['-1.93'],['908.13']
157,2019-12-02,14:48:31.120265,['-1.76'],['906.21']
158,2019-12-02,14:48:31.183789,['2.00'],['907.17']
159,2019-12-02,14:48:31.232073,['1.64'],['906.21']
160,2019-12-02,14:48:31.295777,['-1.87'],['906.48']
161,2019-12-02,14:48:31.343653,['-1.57'],['913.24']
162,2019-12-02,14:48:31.391621,['1.82'],['909.50']
163,2019-12-02,14:48:31.455611,['1.64'],['909.78']
164,2019-12-02,14:48:31.503718,['-1.89'],['909.50']
165,2019-12-02,14:48:31.567223,['-1.64'],['908.27']
166,2019-12-02,14:48:31.615230,['1.92'],['906.89']
167,2019-12-02,14:48:31.663494,['1.56'],['906.21']
168,2019-12-02,14:48:31.727159,['-1.86'],['907.58']
169,2019-12-02,14:48:31.775372,['-1.38'],['907.99']
170,2019-12-02,14:48:31.823342,['1.87'],['907.17']
171,2019-12-02,14:48:31.887118,['0.95'],['906.34']
172,2019-12-02,14:48:31.935228,['-1.77'],['907.17']
173,2019-12-02,14:48:31.998759,['-0.24'],['908.13']
174,2019-12-02,14:48:32.046741,['1.69'],['908.82']
175,2019-12-02,14:48:32.110700,['-0.56'],['904.43']
176,2019-12-02,14:48:32.158783,['-1.64'],['905.93']
177,2019-12-02,14:48:32.206897,['1.35'],['908.68']
178,2019-12-02,14:48:32.270241,['1.71'],['905.39']
179,2019-12-02,14:48:32.318571,['-1.63'],['910.47']
180,2019-12-02,14:48:32.382193,['-1.77'],['909.23']
181,2019-12-02,14:48:32.430178,['2.07'],['909.23']
182,2019-12-02,14:48:32.478174,['1.68'],['907.85']
183,2019-12-02,14:48:32.541860,['-1.97'],['908.40']
184,2019-12-02,14:48:32.589840,['-1.57'],['907.03']
185,2019-12-02,14:48:32.653264,['1.94'],['904.98']
186,2019-12-02,14:48:32.701176,['1.70'],['915.75']
187,2019-12-02,14:48:32.749512,['-2.62'],['938.82']
188,2019-12-02,14:48:32.812853,['-2.73'],['969.46']
189,2019-12-02,14:48:32.860967,['-2.36'],['996.68']
190,2019-12-02,14:48:32.908773,['-2.28'],['1020.06']
191,2019-12-02,14:48:32.956747,['-2.37'],['1040.40']
